number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,lat,lng
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,False,False,40,14,26,OPEN,1740297765000,53.341515,-6.256853
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,False,False,30,2,28,OPEN,1740297724000,53.344603,-6.263371
1,dublin,CLARENDON ROW,Clarendon Row,False,False,31,14,17,OPEN,1740297861000,53.340927,-6.262501
23,dublin,CUSTOM HOUSE,Custom House,False,False,30,2,28,OPEN,1740297600000,53.348279,-6.254662
106,dublin,RATHDOWN ROAD,Rathdown Road,False,False,40,40,0,OPEN,1740297450000,53.35893,-6.280337
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),False,False,30,20,10,OPEN,1740297523000,53.357841,-6.251557
68,dublin,HANOVER QUAY,Hanover Quay,False,False,40,35,5,OPEN,1740297539000,53.344115,-6.237153
74,dublin,OLIVER BOND STREET,Oliver Bond Street,False,False,30,18,12,OPEN,1740297687000,53.343893,-6.280531
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,False,False,38,19,19,OPEN,1740297575000,53.347477,-6.28525
84,dublin,BROOKFIELD ROAD,Brookfield Road,False,False,30,16,14,OPEN,1740297723000,53.339005,-6.300217
90,dublin,BENSON STREET,Benson Street,False,False,40,36,4,OPEN,1740297926000,53.344153,-6.233451
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,False,False,30,27,3,OPEN,1740297513000,53.334295,-6.258503
17,dublin,GOLDEN LANE,Golden Lane,False,False,20,14,6,OPEN,1740297597000,53.340803,-6.267732
45,dublin,DEVERELL PLACE,Deverell Place,False,False,30,0,30,OPEN,1740297725000,53.351464,-6.255265
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),False,False,40,38,2,OPEN,1740297877000,53.333653,-6.248345
72,dublin,JOHN STREET WEST,John Street West,False,False,31,31,0,OPEN,1740297592000,53.343105,-6.277167
63,dublin,FENIAN STREET,Fenian Street,False,False,35,24,11,OPEN,1740297839000,53.341428,-6.24672
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,False,False,40,25,4,OPEN,1740297593000,53.338614,-6.248606
91,dublin,SOUTH DOCK ROAD,South Dock Road,False,False,30,5,25,OPEN,1740297453000,53.341833,-6.231291
99,dublin,CITY QUAY,City Quay,False,False,30,24,6,OPEN,1740297834000,53.346637,-6.246154
9,dublin,EXCHEQUER STREET,Exchequer Street,False,False,24,8,16,OPEN,1740297761000,53.343034,-6.263578
67,dublin,THE POINT,The Point,False,False,40,8,32,OPEN,1740297553000,53.346867,-6.230852
116,dublin,BROADSTONE,Broadstone,False,False,30,10,20,OPEN,1740297557000,53.3547,-6.272314
55,dublin,HATCH STREET,Hatch Street,False,False,36,31,5,OPEN,1740297685000,53.33403,-6.260714
62,dublin,LIME STREET,Lime Street,False,False,40,38,2,OPEN,1740297540000,53.346026,-6.243576
5,dublin,CHARLEMONT PLACE,Charlemont Street,False,False,40,24,16,OPEN,1740297721000,53.330662,-6.260177
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,False,False,40,38,2,OPEN,1740297543000,53.342113,-6.310015
61,dublin,HARDWICKE PLACE,Hardwicke Place,False,False,25,25,0,OPEN,1740297504000,53.357043,-6.263232
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,False,False,29,3,26,OPEN,1740297539000,53.348875,-6.267459
73,dublin,FRANCIS STREET,Francis Street,False,False,30,27,3,OPEN,1740297598000,53.342081,-6.275233
4,dublin,GREEK STREET,Greek Street,False,False,20,4,16,OPEN,1740297829000,53.346874,-6.272976
49,dublin,GUILD STREET,Guild Street,False,False,40,17,23,OPEN,1740297949000,53.347932,-6.240928
19,dublin,HERBERT PLACE,Herbert Place,False,False,30,29,1,OPEN,1740297714000,53.334432,-6.245575
7,dublin,HIGH STREET,High Street,False,False,29,29,0,OPEN,1740297626000,53.343565,-6.275071
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,False,False,30,30,0,OPEN,1740297661000,53.359624,-6.260348
102,dublin,WESTERN WAY,Western Way,False,False,40,23,17,OPEN,1740297656000,53.354929,-6.269425
38,dublin,TALBOT STREET,Talbot Street,False,False,40,4,34,OPEN,1740297578000,53.350974,-6.25294
53,dublin,NEWMAN HOUSE,Newman House,False,False,40,35,5,OPEN,1740297750000,53.337132,-6.26059
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,False,False,40,24,16,OPEN,1740297894000,53.339218,-6.240642
66,dublin,NEW CENTRAL BANK,New Central Bank,False,False,40,20,20,OPEN,1740297511000,53.347122,-6.234749
